newspaper_name,city,state,state_full
Facts News,Seattle,Wash.,Washington
Baltimore Sun The,Baltimore,Md.,Maryland
Philadelphia Daily News,Philadelphia,Pa.,Pennsylvania
Richmond Times-Dispatch,Richmond,Va.,Virginia
Cypress Creek Mirror,Cypress,Texas,Texas
Hartford Courant,Hartford,Conn.,Connecticut
News & Observer,Raleigh,N.C.,North Carolina
Palm Beach Post,West Palm Beach,Fla.,Florida
Westword,Denver,Colo.,Colorado
Los Angeles Daily News,Los Angeles,Calif.,California
Democrat & Chronicle,Rochester,N.Y.,New York
Fresno Bee,Fresno,Calif.,California
San Antonio Express-News,San Antonio,Texas,Texas
Los Angeles Sentinel,Los Angeles,Calif.,California
Metro Philadelphia,Philadelphia,Pa.,Pennsylvania
Mount Prospect Journal,Mount Prospect,Ill.,Illinois
Chicago Crusader,Chicago,Ill.,Illinois
Dallas Observer,Dallas,Texas,Texas
Northern Westchester Express,Westchester,N.Y.,New York
Courier-Journal,Louisville,Ky.,Kentucky
Nuestra Gente,Ontario,Calif.,California
Weekender The,Bel Air,Md.,Maryland
Times,Munster,Ind.,Indiana
Cincinnati Enquirer,Cincinnati,Ohio,Ohio
La Opinion,Los Angeles,Calif.,California
Houston Press,Houston,Texas,Texas
Advocate/ Sunday Advocate,Baton Rouge,La.,Louisiana
New York Beacon,New York,N.Y.,New York
News-Advertiser,Harlan,Iowa,Iowa
Osceola News-Gazette,Kissimmee,Fla.,Florida
Wisconsin State Journal/Capital Times,Madison,Wisc.,Wisconsin
East Valley Tribune,Mesa,Ariz.,Arizona
Press-Telegram,Long Beach,Calif.,California
Cleveland Free Times,Cleveland,Ohio,Ohio
Phoenix New Times,Phoenix,Ariz.,Arizona
Creative Loafing Atlanta,Atlanta,Ga.,Georgia
City Paper,Baltimore,Md.,Maryland
El Nuevo Herald,Miami,Fla.,Florida
Metro Santa Cruz,Santa Cruz,Calif.,California
Metro,San Jose,Calif.,California
Intelligencer Journal/Lancaster New Era,Lancaster,Pa.,Pennsylvania
Sarasota Herald-Tribune,Sarasota,Fla.,Florida
Oak Lawn Independent,Oak Lawn,Ill.,Illinois
Twenty Four Seven Weekly,Royal Oak,Mich.,Michigan
Queens Courier,Queens,N.Y.,New York
Durham News,Durham,N.C.,North Carolina
Asbury Park Press,Neptune,N.J.,New Jersey
Daily Breeze,Torrance,Calif.,California
Chattanooga Times Free Press,Chattanooga,Tenn.,Tennessee
Midtown Raleigh News,Raleigh,N.C.,North Carolina
Houston Metro Weekender,Houston,Texas,Texas
Compton Bulletin,Compton,Calif.,California
Black News,Columbia,S.C.,South Carolina
Philadelphia Public Record,Philadelphia,Pa.,Pennsylvania
Milwaukee Community Journal,Milwaukee,Wisc.,Wisconsin
Daily Herald,Arlington Heights,Ill.,Illinois
Lexington Herald-Leader,Lexington,Ky.,Kentucky
Morning Call,Allentown,Pa.,Pennsylvania
Blade,Toledo,Ohio,Ohio
West Valley View,Goodyear,Ariz.,Arizona
North Raleigh News,Raleigh,N.C.,North Carolina
Post-Standard The,Syracuse,N.Y.,New York
Birmingham News The,Birmingham,Ala.,Alabama
Austin Chronicle,Austin,Texas,Texas
Heritage Sunday,Southgate,Mich.,Michigan
Tennessean,Nashville,Tenn.,Tennessee
Courier Journal,Florence,Ala.,Alabama
Providence Journal,Providence,R.I.,Rhode Island
Chesterfield Observer,Richmond,Va.,Virginia
Dayton Daily News,Dayton,Ohio,Ohio
Source The,Macomb,Mich.,Michigan
Willamette Week,Portland,Ore.,Oregon
Akron Beacon Journal,Akron,Ohio,Ohio
Philadelphia Weekly,Philadelphia,Pa.,Pennsylvania
Albuquerque Journal,Albuquerque,N.M.,New Mexico
SF Weekly,San Francisco,Calif.,California
Tulsa World,Tulsa,Okla.,Oklahoma
Sacramento News & Review,Sacramento,Calif.,California
York Daily Record/York Sunday News,York,Pa.,Pennsylvania
Providence Phoenix,Providence,R.I.,Rhode Island
Loudoun Times-Mirror,Leesburg,Va.,Virginia
Florida Times-Union,Jacksonville,Fla.,Florida
Washington Times,Washington,D.C.,District of Columbia
Washington Times National Weekly Edition,Washington,D.C.,District of Columbia
St Louis American,St Louis,Mo.,Missouri
Boston Herald,Boston,Mass.,Massachusetts
Forward Times,Houston,Texas,Texas
Beaverton Leader,Beaverton,Ore.,Oregon
Philadelphia City Paper,Philadelphia,Pa.,Pennsylvania
OC Weekly,Costa Mesa,Calif.,California
Suburban News/Village Gazette,Ridgwood,N.J.,New Jersey
Washington City Paper,Washington,D.C.,District of Columbia
Press-Tribune,Roseville,Calif.,California
Commercial Appeal,Memphis,Tenn.,Tennessee
Pittsburgh City Paper,Pittsburgh,Pa.,Pennsylvania
Post & Courier,Charleston,S.C.,South Carolina
Kent Reporter,Kent,Wash.,Washington
Winston-Salem Journal,Winston-Salem,N.C.,North Carolina
New American,Brooklyn,N.Y.,New York
Dekalb Neighbor,Dunwoody,Ga.,Georgia
Extra Community Newspaper,Chicago,Ill.,Illinois
Forecaster The,Falmouth,Maine,Maine
Minnesota Spokesman-Recorder,Minneapolis,Minn.,Minnesota
Armada Times,Armada,Mich.,Michigan
Palisadian,New Milford,N.J.,New Jersey
Daytona Beach News-Journal The,Daytona Beach,Fla.,Florida
Daily Press,Newport News,Va.,Virginia
Tomball-Magnolia Tribune,Tomball,Texas,Texas
Webb Weekly,South Williamsport,Pa.,Pennsylvania
Patriot-News,Harrisburg,Pa.,Pennsylvania
Brandon News & Tribune,Tampa,Fla.,Florida
Brooklyn Journal,Brooklyn,N.Y.,New York
Michigan Citizen,Detroit,Mich.,Michigan
Park Slope Paper-Windsor Terrace Edition,Brooklyn,N.Y.,New York
Roanoke Times,Roanoke,Va.,Virginia
Lancaster Farming,Lancaster,Pa.,Pennsylvania
Afro Times,Brooklyn,N.Y.,New York
Shepherd Express Weekly News,Milwaukee,Wisc.,Wisconsin
San Bernardino Sun,San Bernardino,Calif.,California
Spokesman-Review The,Spokane,Wash.,Washington
South Philly Review,Philadelphia,Pa.,Pennsylvania
New York Daily Challenge,Brooklyn,N.Y.,New York
Atlanta Inquirer,Atlanta,Ga.,Georgia
Cary News,Cary,N.C.,North Carolina
Warren Weekly,Warren,Mich.,Michigan
Beach Reporter,Manhattan Beach,Calif.,California
Avenue News The,Essex,Md.,Maryland
Riverfront Times,St Louis,Mo.,Missouri
Atlanta Voice,Atlanta,Ga.,Georgia
Chicago Independent Bulletin,Chicago,Ill.,Illinois
Precinct Reporter,San Bernardino,Calif.,California
Washington Sun,Washington,D.C.,District of Columbia
Inquiring News,Bridgeport,Conn.,Connecticut
South Bend Tribune,South Bend,Ind.,Indiana
Artvoice,Buffalo,N.Y.,New York
Reporte Hispano,Princeton,N.J.,New Jersey
San Diego Suburban News,La Jolla,Calif.,California
News Tribune,Tacoma,Wash.,Washington
Post-Chronicle,New Haven,Conn.,Connecticut
Independent Weekly,Durham,N.C.,North Carolina
Arizona Daily Star,Tucson,Ariz.,Arizona
Journal Gazette,Fort Wayne,Ind.,Indiana
Creative Loafing Tampa,Tampa,Fla.,Florida
Press Tribune,Cocoa,Fla.,Florida
Leesburg Today,Leesburg,Va.,Virginia
Southwest Wake News,Apex,N.C.,North Carolina
El Diario/La Prensa,Brooklyn,N.Y.,New York
Suffolk County News,Sayville,N.Y.,New York
Palo Alto Daily News,Palo Alto,Calif.,California
Palo Alto Weekly,Palo Alto,Calif.,California
Valley Breeze & Observer The,Smithfield,R.I.,Rhode Island
Oklahoma Gazette,Oklahoma City,Okla.,Oklahoma
Spinal Column Newsweekly,Detroit,Mich.,Michigan
Collier Citizen,Golden Gate,Fla.,Florida
Pacific Northwest Inlander,Spokane,Wash.,Washington
El Tiempo,Las Vegas,Nev.,Nevada
News Journal/ Sunday News Journal,Wilmington,Del.,Delaware
St Louis Metro Evening Whirl,St Louis,Mo.,Missouri
News-Herald The,Southgate,Mich.,Michigan
Easy Reader,Hermosa Beach,Calif.,California
Florida Sentinel-Bulletin,Tampa,Fla.,Florida
El Paso Times,El Paso,Texas,Texas
East Bay Express,Oakland,Calif.,California
Sacramento Observer,Sacramento,Calif.,California
Neighborhood Extra,Lincoln,Neb.,Nebraska
El Sol News,Stamford,Conn.,Connecticut
Inland Valley Daily Bulletin,Ontario,Calif.,California
Los Angeles Wave - West Edition,Los Angeles,Calif.,California
Our Town News,Coral Springs,Fla.,Florida
Knoxville News-Sentinel,Knoxville,Tenn.,Tennessee
Treasure Coast Palm,Vero Beach,Fla.,Florida
Albany Times-Union,Albany,N.Y.,New York
North De Kalb Neighbor,Atlanta,Ga.,Georgia
Almanac,McMurray,Pa.,Pennsylvania
Modesto Bee,Modesto,Calif.,California
Sun,Rossmoor,Calif.,California
Courier News Weekly,Lansdale,Pa.,Pennsylvania
Carrollwood News,Carrollwood,Fla.,Florida
Press-Register,Mobile,Ala.,Alabama
Hunterdon Observer,Hunterdon,N.J.,New Jersey
Independent,Livermore,Calif.,California
Salt Lake City Weekly,Salt Lake City,Utah,Utah
Salt Lake Tribune,Salt Lake City,Utah,Utah
Creative Loafing Charlotte,Charlotte,N.C.,North Carolina
Forum,Fargo,N.D.,North Dakota
Washington Missourian,Washington,Mo.,Missouri
El Paso y Míçs,El Paso,Texas,Texas
Wichita Eagle,Wichita,Kan.,Kansas
Reading Eagle,Reading,Pa.,Pennsylvania
High Plains Journal,Dodge City,Kan.,Kansas
News & Record,Greensboro,N.C.,North Carolina
Macon Telegraph,Macon,Ga.,Georgia
Charleston Gazette,Charleston,W.Va.,West Virginia
Washington County Daily News,West Bend,Wisc.,Wisconsin
Sugar Land Sun,Sugar Land,Texas,Texas
Herald,Everett,Wash.,Washington
Villages Daily Sun,Lady Lake,Fla.,Florida
Journal News,White Plains,N.Y.,New York
ReminderThe,East Longmeadow,Mass.,Massachusetts
Today's Pulse,Liberty Township,Ohio,Ohio
Observer News,Ruskin,Fla.,Florida
Plano Star Courier,Plano,Texas,Texas
Seattle Weekly,Seattle,Wash.,Washington
Memphis Flyer,Memphis,Tenn.,Tennessee
South Tampa News & Tribune,Tampa,Fla.,Florida
Yes! Weekly,Greensboro,N.C.,North Carolina
Cedar Valley Times,Vinton,Iowa,Iowa
State,Columbia,S.C.,South Carolina
Irvine World News,Irvine,Calif.,California
Beacon,Manahawkin,N.J.,New Jersey
Portland Phoenix,Portland,Maine,Maine
Press of Atlantic City,Atlantic City,N.J.,New Jersey
Keller Citizen,Keller,Texas,Texas
Chapel Hill News,Chapel Hill,N.C.,North Carolina
Woodlands Villager,Woodlands,Texas,Texas
Wellington Forum,Wellington,Fla.,Florida
Gary Crusader,Gary,Ind.,Indiana
Register-Guard,Eugene,Ore.,Oregon
Green Bay Press-Gazette,Green Bay,Wisc.,Wisconsin
Explorer,Tucson,Ariz.,Arizona
Jacksonville Free Press,Jacksonville,Fla.,Florida
News and Farmer/ Jefferson Reporter,Jefferson,Ga.,Georgia
Naples Daily News,Naples,Fla.,Florida
Worcester Telegram & Gazette,Worcester,Mass.,Massachusetts
Chino Hills Champion,Chino,Calif.,California
Cadence The,Ada,Mich.,Michigan
Sonoran News,Cave Creek,Ariz.,Arizona
Nashville Scene,Nashville,Tenn.,Tennessee
Bonita Banner,Bonita Springs,Fla.,Florida
Las Vegas Sun,Las Vegas,Nev.,Nevada
Repository The,Canton,Ohio,Ohio
Lincoln Journal Star,Lincoln,Neb.,Nebraska
Stone County Leader,Mountain View,Ark.,Arkansas
Isthmus,Madison,Wisc.,Wisconsin
Pitch,Kansas City,Mo.,Missouri
Chester Progressive,Chester,Calif.,California
Nashville Pride,Nashville,Tenn.,Tennessee
Herald/Country Market,Bourbonnais,Ill.,Illinois
New Monitor,Detroit,Mich.,Michigan
Grand Traverse Insider,Traverse City,Mich.,Michigan
Press Democrat,Santa Rosa,Calif.,California
Barberton Herald,Barberton,Ohio,Ohio
Leader The,Lyndhurst,N.J.,New Jersey
Flint Journal,Flint,Mich.,Michigan
Daily Camera/ Sunday Camera,Boulder,Colo.,Colorado
Gaming Today,Las Vegas,Nev.,Nevada
Denison Bulletin,Denison,Iowa,Iowa
Chico News & Review,Chico,Calif.,California
Weekender,Wilkes-Barre,Pa.,Pennsylvania
Independent Press,Bloomfield,N.J.,New Jersey
Los Gatos Weekly Times,Los Gatos,Calif.,California
Webster-Kirkwood Times,Webster Groves,Mo.,Missouri
Smithfield Herald,Smithfield,N.C.,North Carolina
New Milford Spectrum,New Milford,Conn.,Connecticut
Hippo,Manchester,N.H.,New Hampshire
Granite City Press-Record Journal,Granite City,Ill.,Illinois
Alive,Columbus,Ohio,Ohio
Log Newspaper,Irvine,Calif.,California
Community News,St Louis,Mo.,Missouri
Roswell Neighbor,Alpharetta,Ga.,Georgia
New Haven Register,New Haven,Conn.,Connecticut
Charleston City Paper,Charleston,S.C.,South Carolina
Good Times Santa Cruz,Santa Cruz,Calif.,California
Boston's Weekly Dig,Boston,Mass.,Massachusetts
North Shore Sunday,Beverly,Mass.,Massachusetts
Metroland,Albany,N.Y.,New York
Beverly Hills Weekly,Beverly Hills,Calif.,California
Northwest Advance,Walker,Mich.,Michigan
Walworth County Sunday,Delavan,Wisc.,Wisconsin
Enterprise,Plainfield,Ill.,Illinois
Lake Sun Leader,Camdenton,Mo.,Missouri
Rochester Post,Rochester,Mich.,Michigan
Budgeteer News,Duluth,Minn.,Minnesota
Spartanburg Herald-Journal,Spartanburg,S.C.,South Carolina
Journal Star,Peoria,Ill.,Illinois
Macomb Daily The,Clinton Township,Mich.,Michigan
Grunion Gazette,Long Beach,Calif.,California
South Lake Press,Clermont,Fla.,Florida
Richmond Voice,Richmond,Va.,Virginia
Santa Barbara Independent,Santa Barbara,Calif.,California
News Transcript,Freehold,N.J.,New Jersey
Republican,Springfield,Mass.,Massachusetts
Astoria Times,Queens,N.Y.,New York
Deseret News,West Valley City,Utah,Utah
California Voice,San Francisco,Calif.,California
Gazette,Cedar Rapids,Iowa,Iowa
Greenville Journal,Greenville,S.C.,South Carolina
Farmington Press,Farmington,Mich.,Michigan
Metro Times,Detroit,Mich.,Michigan
East Cobb Neighbor,Marietta,Ga.,Georgia
Toledo City Paper,Toledo,Ohio,Ohio
Rancho Bernardo News-Journal,Rancho Bernardo,Calif.,California
Gambit Weekly,New Orleans,La.,Louisiana
Press Herald/ Maine Sunday Telegram,Portland,Maine,Maine
Greenville News,Greenville,S.C.,South Carolina
Fort Worth Weekly,Fort Worth,Texas,Texas
Fayetteville Observer,Fayetteville,N.C.,North Carolina
New American Press,Pensacola,Fla.,Florida
Grand Valley Advance,Grandville,Mich.,Michigan
Los Angeles Downtown News,Los Angeles,Calif.,California
Vindicator,Youngstown,Ohio,Ohio
Times Herald-Record The,Middletown,N.Y.,New York
Staten Island Advance,Staten Island,N.Y.,New York
Pensacola Voice,Pensacola,Fla.,Florida
Colorado Springs Independent,Colorado Springs,Colo.,Colorado
Times-Tribune,Scranton,Pa.,Pennsylvania
South County Edition,St Louis,Mo.,Missouri
Gazette,Colorado Springs,Colo.,Colorado
County Star,Champaign,Ill.,Illinois
Hololulu Weekly,Honolulu,Hawaii,Hawaii
Portland Observer,Portland,Ore.,Oregon
Olmsted County Journal,Rochester,Minn.,Minnesota
South County Times,Affton,Mo.,Missouri
Weekly Alibi,Albuquerque,N.M.,New Mexico
Wilmington StarNews,Wilmington,N.C.,North Carolina
Sunnyvale Sun,Sunnyvale,Calif.,California
Clarion-Ledger,Jackson,Miss.,Mississippi
Waterbury Republican-American,Waterbury,Conn.,Connecticut
News-Press,Fort Myers,Fla.,Florida
Beacon-News The,Aurora,Ill.,Illinois
Standard-Examiner,Ogden,Utah,Utah
Diario Las Americas,Miami,Fla.,Florida
Florida Today,Melbourne,Fla.,Florida
Times of Acadiana,Lafayette,La.,Louisiana
Pacific Sun,San Rafael,Calif.,California
Bellevue Reporter,Bellevue,Wash.,Washington
Neighbor News,Rockaway,N.J.,New Jersey
Lititz Record Express,Lititz,Pa.,Pennsylvania
Milford-Orange Bulletin,Milford,Conn.,Connecticut
Portland Mercury,Portland,Ore.,Oregon
Community Common,Portsmouth,Ohio,Ohio
Farm Forum,Aberdeen,S.D.,South Dakota
Star News,Chula Vista,Calif.,California
Eugene Weekly,Eugene,Ore.,Oregon
Idaho Statesman The,Boise,Idaho,Idaho
New Times,San Luis Obispo,Calif.,California
Stateline News,Beloit,Wisc.,Wisconsin
News Leader,Clermont,Fla.,Florida
La Prensa,Longwood,Fla.,Florida
Florida Star,Jacksonville,Fla.,Florida
Atlanta Metro,Atlanta,Ga.,Georgia
Atlanta-News Leader,Atlanta,Ga.,Georgia
Salinas Valley Weekly,Salinas,Calif.,California
Merced County Times,Merced,Calif.,California
Bowie Blade-News,Bowie,Md.,Maryland
Poland Town Crier,Poland,Ohio,Ohio
Canfield Town Crier,Boardman,Ohio,Ohio
Telegram,Ecores,Mich.,Michigan
Boise Weekly,Boise,Idaho,Idaho
Hastings Banner,Hastings,Mich.,Michigan
Fort Bend Star,Stafford,Texas,Texas
Focus Daily News,DeSoto,Texas,Texas
Insight News,Minneapolis,Minn.,Minnesota
Columbia Flier,Columbia,Md.,Maryland
Other Paper,Columbus,Ohio,Ohio
Bangor Daily News,Bangor,Maine,Maine
Warren Reporter,Warren,N.J.,New Jersey
Ledger The,Lakeland,Fla.,Florida
Fort Lupton Press,Fort Lupton,Colo.,Colorado
Post Journal,Rockford,Ill.,Illinois
Evansville Courier & Press,Evansville,Ind.,Indiana
Courier-Post,Cherry Hill,N.J.,New Jersey
Courier Post/This Week,Cherry Hill,N.J.,New Jersey
Sun Gazette,Alexandria,Va.,Virginia
Syracuse New Times,Syracuse,N.Y.,New York
Towson Times,Towson,Md.,Maryland
Seven Days,Burlington,Vt.,Vermont
Clackamas Review,Clackamas,Ore.,Oregon
Glendale News-Press,Glendale,Calif.,California
Reporter The,Cranford,N.J.,New Jersey
New Times Broward/Palm Beach,Palm Beach,Fla.,Florida
Times-Citizen,Iowa Falls,Iowa,Iowa
Northern Express Weekly,Traverse City,Mich.,Michigan
Monterey County Weekly,Seaside,Calif.,California
Leader,Houston,Texas,Texas
East County Californian The,El Cajon,Calif.,California
Suburban/Metro Press,Millbury,Ohio,Ohio
Garner-Cleveland Record,Garner,N.C.,North Carolina
Sterling Heights Sentry,Sterling Heights,Mich.,Michigan
Cape Cod Times,Hyannis,Mass.,Massachusetts
Suburban News/Elizabeth City News,Elizabeth,N.J.,New Jersey
Journal,Mt. Clemens,Mich.,Michigan
Anaheim Bulletin,Anaheim,Calif.,California
City Newspaper,Rochester,N.Y.,New York
Union-Leader/ New Hampshire Sunday News,Manchester,N.H.,New Hampshire
Huntsville Times,Huntsville,Ala.,Alabama
Birmingham-Bloomfield Eagle,Birmingham,Mich.,Michigan
Free Lance-Star,Fredericksburg,Va.,Virginia
Tucson Weekly,Tucson,Ariz.,Arizona
Conway Daily Sun,North Conway,N.H.,New Hampshire
Arvada Press,Arvada,Colo.,Colorado
Stoughton Courier-Hub,Stoughton,Wisc.,Wisconsin
Suburbanite The,Green,Ohio,Ohio
Southfield Sun,Southfield,Mich.,Michigan
Richmond Free Press,Richmond,Va.,Virginia
California Advocate,Fresno,Calif.,California
ThisWeek Whitehall News,Whitehall,Ohio,Ohio
Daily Gazette,Schenectady,N.Y.,New York
Coral Springs Forum,Coral Springs,Fla.,Florida
Weatherford Telegram,Weatherford,Texas,Texas
Ventura County Reporter,Ventura,Calif.,California
Ventura County Star/Sunday Star,Ventura,Calif.,California
St Louis Argus,St Louis,Mo.,Missouri
Newcity,Chicago,Ill.,Illinois
Valley Advocate,Northampton,Mass.,Massachusetts
Derry News,Derry,N.H.,New Hampshire
Suburban News,Spencerport,N.Y.,New York
Verona Press,Verona,Wisc.,Wisconsin
Oregon Observer,Oregon,Wisc.,Wisconsin
Brighton Standard Blade,Brighton,Colo.,Colorado
Free Times,Columbia,S.C.,South Carolina
Independent The,Hazlet,N.J.,New Jersey
Daily News-Sun/Glendale-Peoria Today,Glendale,Ariz.,Arizona
Boynton Forum,Boynton Beach,Fla.,Florida
Royal Oak Review,Royal Oak,Mich.,Michigan
Davis County Clipper,Bountiful,Utah,Utah
Charlotte Sun-Herald,Port Charlotte,Fla.,Florida
Gaffney Ledger,Gaffney,S.C.,South Carolina
Herald-Tribune,Cartersville,Ga.,Georgia
East Brunswick Sentinel,East Brunswick,N.J.,New Jersey
Tri-County Times,Fenton,Mich.,Michigan
Bakersfield Californian,Bakersfield,Calif.,California
West County Times,Richmond,Calif.,California
Webster Times,Webster,Mass.,Massachusetts
Atlantic City Weekly,Atlantic City,N.J.,New Jersey
Mansfield News-Mirror,Mansfield,Texas,Texas
Sunday Independent,Owosso,Mich.,Michigan
La Estrella de Tucson,Tucson,Ariz.,Arizona
Bakersfield News Observer,Bakersfield,Calif.,California
Two River Times,Red Bank,N.J.,New Jersey
Post-Tribune,Merrillville,Ind.,Indiana
Knentertain/Bulletin,Kenosha,Wisc.,Wisconsin
Ann Arbor Observer,Ann Arbor,Mich.,Michigan
Fraser-Clinton Chronicle,Clinton,Mich.,Michigan
Hartford Area News,Hartford,S.D.,South Dakota
Troy Times,Troy,Mich.,Michigan
Kalamazoo Gazette,Kalamazoo,Mich.,Michigan
Hartford Advocate,Hartford,Conn.,Connecticut
Hendricks County Flyer,Avon,Ind.,Indiana
Clifton Journal,Clifton,N.J.,New Jersey
Style Weekly,Richmond,Va.,Virginia
Cape May Star and Wave,Cape May,N.J.,New Jersey
Pueblo Chieftain/ Sunday Chieftain,Pueblo,Colo.,Colorado
News-Enterprise,Los Angeles,Calif.,California
Post-Bulletin,Rochester,Minn.,Minnesota
Tri-Valley Times,Pleasanton,Calif.,California
Eastsider,Eastpointe,Mich.,Michigan
Georgetown Times,Georgetown,S.C.,South Carolina
Quad-City Times,Davenport,Iowa,Iowa
Catholic Times,La Crosse,Wisc.,Wisconsin
Northside-Sandy Springs Neighbor,Vinings,Ga.,Georgia
North Side Journal,Chesterfield,Mo.,Missouri
Augusta Chronicle The,Augusta,Ga.,Georgia
Corpus Christi Caller-Times,Corpus Christi,Texas,Texas
Chatham Citizen,Chicago,Ill.,Illinois
Johnson City News & Neighbor,Johnson City,Tenn.,Tennessee
Lansing State Journal,Lansing,Mich.,Michigan
Mena Star,Mena,Ark.,Arkansas
Fort Bend Sun,Missouri City,Texas,Texas
Janesville Messenger,Janesville,Wisc.,Wisconsin
Connecticut Post,Bridgeport,Conn.,Connecticut
Everglades Echo,Naples,Fla.,Florida
Acorn,Agoura Hills,Calif.,California
Downtown Journal,Minneapolis,Minn.,Minnesota
Islander Reporter,South Pasadena,Fla.,Florida
Southend Citizen,Chicago,Ill.,Illinois
Asheville Citizen-Times,Asheville,N.C.,North Carolina
Paper (Elkhart Co),Goshen,Ind.,Indiana
South Bergenite,Rutherford,N.J.,New Jersey
McKinney Courier-Gazette,McKinney,Texas,Texas
Cincinnati Citybeat,Cincinnati,Ohio,Ohio
Port Isabel-South Padre Press,Port Isabel,Texas,Texas
Coastal Current Weekly,South Padre Island,Texas,Texas
Westside Gazette,Fort Lauderdale,Fla.,Florida
Boca Raton Forum,Boca Raton,Fla.,Florida
Northeast News,Houston,Texas,Texas
Livingston Parish News The,Denham Springs,La.,Louisiana
Advance,Vidalia,Ga.,Georgia
Inland Empire Weekly,Corona,Calif.,California
